busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,loader_async,loader_async_threads,pep_progress_thread,pep_num_threads,pep_ibatch_size,pep_obatch_size,pep_pes_per_node,pep_no_preloading,pep_no_rdma,scale,enable_pep,more_params,objective,elapsed_sec
False,11,3,2,14,8,fifo_wait,True,106,16,False,True,5,True,30,13,38,16,False,False,8,True,True,4.297050610631883,76.30386281013489
True,15,13,11,25,32,fifo_wait,False,35,8,True,True,2,False,16,9,112,32,False,True,8,True,True,4.499301282635722,166.4232268333435
False,4,16,13,52,4,fifo_wait,True,388,2,True,False,3,True,14,77,529,32,False,True,8,True,True,4.57493610992717,264.93337392807007
False,1,2,11,41,32,fifo_wait,False,98,16,False,True,2,True,13,756,160,4,False,True,8,True,True,4.099112150057991,325.34436678886414
False,3,16,7,60,16,fifo_wait,True,4,8,False,False,3,True,21,16,298,4,False,True,8,True,True,5.204887908015496,507.6831774711609
False,4,7,17,41,2,fifo,False,18,16,True,True,15,True,9,28,13,8,False,False,8,True,True,5.113383221822256,674.0614287853241
False,6,10,23,7,8,fifo_wait,True,356,16,False,True,12,True,15,33,392,32,False,True,8,True,True,4.988952232205596,820.998950958252
False,8,3,20,25,2,fifo_wait,False,5,8,False,True,38,False,18,133,236,32,True,False,8,True,True,5.2597873855240875,1013.5694441795348
False,1,8,7,21,1,fifo,True,9,16,False,False,1,False,3,910,16,32,False,True,8,True,True,5.4159156902455425,1238.621419429779
False,13,12,28,34,16,fifo_wait,False,1,1,False,True,25,True,20,41,106,2,True,False,8,True,True,5.599954928630934,1509.2031264305117
False,14,1,22,23,16,fifo_wait,True,1956,4,True,True,16,True,17,357,696,1,True,True,8,True,True,4.955492692464214,1655.7954726219175
False,7,1,17,62,8,fifo_wait,True,260,4,True,True,8,True,15,552,987,16,False,False,8,True,True,4.332277416867025,1736.6472396850586
False,12,1,30,50,4,fifo_wait,False,1537,1,True,True,2,True,18,256,848,2,False,False,8,True,True,5.33768787989198,1949.2378239631653
False,13,3,7,60,32,fifo_wait,True,571,4,True,False,13,True,10,426,375,32,False,True,8,True,True,4.405143066053257,2035.799563884735
False,15,3,8,34,32,fifo_wait,True,78,8,True,False,7,False,13,730,721,32,False,False,8,True,True,4.642904907694255,2144.3575077056885
True,14,2,8,43,1,fifo,False,45,2,True,True,17,True,22,383,816,4,True,True,8,True,True,5.242226578556631,2338.097653865814
True,1,2,6,38,32,fifo,True,121,4,False,True,7,False,2,682,911,16,True,True,8,True,True,4.722350283251557,2455.1633899211884
True,14,16,9,0,2,fifo,True,11,8,True,True,13,False,9,40,330,4,True,False,8,True,True,5.46438712930903,2695.916021347046
True,12,11,4,57,32,fifo_wait,False,547,16,True,False,62,False,25,976,107,32,True,False,8,True,True,4.749346206497247,2816.034464597702
True,9,2,25,32,32,fifo_wait,False,412,8,True,True,10,True,10,1022,264,32,True,False,8,True,True,4.714583378075742,2932.316742181778
True,15,1,29,56,1,fifo,True,992,16,False,True,34,True,5,905,623,2,True,True,8,True,True,4.681378751061149,3044.871836900711
True,3,1,3,23,32,fifo,True,250,4,True,False,57,True,20,43,310,32,False,True,8,True,True,4.79033385674406,3170.1388216018677
False,6,1,30,50,16,fifo_wait,True,61,16,False,True,18,False,4,517,145,1,True,True,8,True,True,5.345374206482298,3384.4734110832214
False,5,16,3,51,4,fifo_wait,False,447,8,True,True,33,True,9,867,251,32,False,True,8,True,True,4.26389140017699,3460.0444626808167
True,14,7,6,57,32,fifo,True,294,8,True,True,2,True,20,816,1000,8,False,False,8,True,True,4.584327160095659,3562.545505285263
True,5,2,1,3,2,fifo_wait,False,1842,16,True,True,7,False,9,985,508,4,False,True,8,True,True,4.423919062328223,3650.6226255893703
True,15,6,11,59,2,fifo_wait,True,1415,8,False,True,6,False,22,899,547,32,False,False,8,True,True,4.2013849956057765,3722.1376547813416
False,15,2,5,61,1,fifo,False,883,16,False,True,29,True,21,981,947,32,False,False,8,True,True,4.1778299349185115,3791.9130024909978
True,6,3,17,56,8,fifo,True,1396,2,False,True,21,True,31,957,101,32,False,False,8,True,True,4.5349472635435495,3889.9334626197815
False,8,2,5,52,32,fifo_wait,True,1592,8,True,True,7,True,7,376,674,2,False,True,8,True,True,4.1352314287913154,3958.110397338867
True,4,2,2,50,1,fifo_wait,False,2048,4,True,True,45,True,4,680,817,16,False,False,8,True,True,4.239875520453809,4032.469386100769
True,9,2,23,59,1,fifo_wait,True,378,16,True,True,22,True,30,712,430,16,False,True,8,True,True,4.449537146130554,4123.125416994095
True,6,2,2,10,2,fifo_wait,False,1664,4,True,True,24,True,11,853,426,1,False,True,8,True,True,4.788887339798516,4248.30967092514
True,9,14,24,61,8,fifo_wait,False,1039,1,False,True,42,False,7,866,885,32,False,True,8,True,True,5.136062478917188,4424.361422777176
True,3,7,1,61,4,fifo_wait,True,1940,4,True,True,31,True,26,371,929,4,False,True,8,True,True,4.686120888722552,4537.955416679382
True,1,1,9,43,1,fifo,True,1935,8,True,True,62,True,16,705,495,8,False,False,8,True,True,4.2186231054700585,4610.749464511871
True,9,1,3,26,2,fifo,False,686,16,False,True,3,True,26,433,608,1,True,False,8,True,True,4.735817655552162,4730.62557387352
False,4,1,32,62,2,fifo_wait,True,1112,8,True,True,5,True,5,913,938,8,True,False,8,True,True,4.51170067764516,4826.660665512085
False,4,2,30,60,2,fifo,True,1646,4,True,False,61,True,14,858,430,8,False,True,8,True,True,4.382378409091954,4912.668251514435
True,15,15,5,53,16,fifo_wait,False,2033,16,True,True,26,True,14,898,933,16,True,True,8,True,True,4.597977228264349,5017.243550777435
True,16,1,1,38,16,fifo_wait,True,1011,2,True,True,2,False,7,402,420,32,False,False,8,True,True,4.609306163486832,5123.233427524567
True,11,2,12,48,8,fifo_wait,True,1344,4,True,False,30,True,5,31,686,8,False,False,8,True,True,4.472716663002216,5216.738539934158
True,12,1,4,54,32,fifo,True,470,8,True,True,9,True,29,61,798,8,False,False,8,True,True,4.704366932993806,5333.153445720673
